num_id,lang_family,lang_name,lang_id_udhr,text_udhr
011,Afroasiatic,Somali,udhr_so,"Aadanaha dhammaantiis wuxuu dhashaa isagoo xor ah kana siman xagga sharafta iyo xuquuqada. Waxaa Alle siiyay aqoon iyo wacyi, waana in qof la arkaa qofka kale ula dhaqmaa si walaaltinimo ah. | &#66715;&#66694;&#66710;&#66706;&#66710;&#66708;&#66710; &#66698;&#66710;&#66705;&#66705;&#66715;&#66706;&#66690;&#66709;&#66696; &#66707;&#66714;&#66692;&#66707; &#66698;&#66710;&#66697;&#66715; &#66712;&#66696;&#66710;&#66700;&#66717; &#66692;&#66713;&#66695; &#66710;&#66708; &#66703;&#66710;&#66706;&#66710; &#66696;&#66712;&#66705;&#66710;&#66706; &#66692;&#66710;&#66700;&#66700;&#66710; &#66697;&#66710;&#66695;&#66710;&#66701;&#66690;&#66710; &#66712;&#66709;&#66713; &#66692;&#66714;&#66702;&#66707;&#66702;&#66710;&#66694;&#66710; &#66707;&#66710;&#66692;&#66715; &#66710;&#66704;&#66704;&#66711; &#66696;&#66709;&#66709;&#66710;&#66709; &#66710;&#66702;&#66717;&#66706; &#66712;&#66709;&#66713; &#66707;&#66710;&#66699;&#66709;&#66712;, &#66707;&#66715;&#66706;&#66710; &#66712;&#66706; &#66702;&#66713;&#66701; &#66704;&#66710; &#66710;&#66695;&#66703;&#66715; &#66702;&#66713;&#66701;&#66703;&#66710; &#66703;&#66710;&#66704;&#66711; &#66714;&#66704;&#66710; &#66698;&#66710;&#66702;&#66705;&#66715; &#66696;&#66712; &#66707;&#66710;&#66704;&#66715;&#66704;&#66690;&#66712;&#66706;&#66712;&#66705;&#66713; &#66710;&#66708;"
012,Afroasiatic,Tigrinya,udhr_tigrinya,&#4709;&#4632;&#4757;&#4933;&#4653; &#4781;&#4709;&#4653;&#4757; &#4632;&#4656;&#4621;&#4757; &#4777;&#4622;&#4637; &#4656;&#4707;&#4725; &#4773;&#4757;&#4725;&#4813;&#4616;&#4921; &#4752;&#4931;&#4757; &#4635;&#4821;&#4648;&#4757; &#4773;&#4846;&#4637;&#4962; &#4637;&#4661;&#4725;&#4813;&#4819;&#4621;&#4757; &#4629;&#4621;&#4755;&#4757; &#4829;&#4720;&#4819;&#4848;&#4622;&#4637; &#4709;&#4637;&#4803;&#4758;&#4637; &#4709;&#4629;&#4813;&#4752;&#4723;&#4810; &#4632;&#4757;&#4936;&#4661; &#4781;&#4720;&#4627;&#4619;&#4841; &#4771;&#4616;&#4814;&#4637;&#4962;
013,Austro-Asiatic,Vietnamese,udhr_vi,&#x7562;&#x54FF;&#x6BCF;&#x2029B;&#x751F;&#x206A2;&#x8ABF;&#x5F97;&#x81EA;&#x7531;&#x5427;&#x5E73;&#x7B49;&#x275F1;&#x4EBA;&#x54C1;&#x5427;&#x6B0A;&#x3002;&#x6BCF;&#x21975;&#x2029B;&#x8ABF;&#x5F97;&#x9020;&#x5316;&#x9812;&#x6731;&#x7406;&#x667A;&#x5427;&#x826F;&#x5FC3;&#x5427;&#x52E4;&#x6C9B;&#x5C0D;&#x8655;&#x22B72;&#x81AE;&#x25A9D;&#x60C5;&#x670B;&#x53CB;&#x3002;
014,Austronesian,Acehnese,udhr_acehnese,"Bandum ureu&euml;ng lah&eacute; deungon meurd&eacute;hka, dan  deungon martabat dan hak njang saban. Ngon akai geuseumik&eacute;,  ngon hat&eacute; geumeurasa, bandum geutanjo&euml; lag&egrave;&euml;  sj&egrave;&euml;dara. Hak dan keumuliaan."
015,Austronesian,Balinese,udhr2_balinese,&#6955;&#6931;&#6962;&#6955;&#6966;&#6955;&#6950;&#6968;&#6962;&#6950;&#6974;&#6931;&#6963;&#6978;&#6955;&#6980;&#6953;&#6962;&#6966;&#6950;&#6980;&#6955;&#6963;&#6915;&#6948;&#6966;&#6931;&#6958;&#6950;&#6980;&#6951;&#6946;&#6974;&#7018;&#7007;&#8203;&#6962;&#6938;&#59960;&#6950;&#6966;&#6914;&#6931;&#6963;&#6950;&#6950;&#6980;&#6958;&#6950;&#6980;&#6931;&#6968;&#6962;&#7007; &#6963;&#6966;&#6951;&#6968;&#6950;&#6980;&#6931;&#6950;&#6968;&#6933;&#6980;&#6957;&#6963;&#6966;&#6950;&#6966;&#59973;&#6959;&#6974;&#6931;&#6958;&#6950;&#6980;&#6953;&#6968;&#6948;&#6980;&#6949;&#6966;&#7007; &#8203;&#6951;&#6950;&#6980;&#6946;&#6957;&#6950;&#6966;&#6914;&#6955;&#6950;&#6968;&#6962;&#6955;&#6914;&#6948;&#6950;&#6974;&#8203;&#8203;&#6951;&#6957;&#6962;&#6980;&#6951;&#6957;&#6976;&#6962;&#6980;&#6955;&#6962;&#6955;&#6974;&#6946;&#6976;&#6950;&#6950;&#6980;
016,Austronesian,Bikol,udhr_bikol,An gabos na tawo ipinangaking may katalinkasan asin parantay sa dignidad asin derechos. Sinda gabos tinawan nin pag-isip asin conciencia kaya dapat na makipag-iriba sa lambang saro bilang mga magturugang.
017,Austronesian,Bugisnese,udhr_bugisnese,&#x1A14;&#x1A17;&#x1A0A;&#x1A17;&#x1A0A; &#x1A11;&#x1A18;&#x1A04; &#x1A08;&#x1A15;&#x1A18; &#x1A11;&#x1A17; &#x1A0D;&#x1A0D;&#x1A17;&#x1A15;&#x1A0A;&#x1A01;&#x1A17; &#x1A11;&#x1A17;&#x1A12;&#x1A17;&#x1A0A;&#x1A1A;&#x1A15;&#x1A19; &#x1A0A;&#x1A04;&#x1A18;&#x1A0A;&#x1A15;&#x1A17; &#x1A06;&#x1A0A;&#x1A19;&#x1A0A;&#x1A01;&#x1A17; &#x1A11;&#x1A17;&#x1A15;&#x1A14;&#x1A19;&#x1A0A;&#x1A01;&#x1A19; &#x1A15;&#x1A12;&#x1A19;&#x1A05;&#x1A17;&#x1A11;&#x1A19;&#x1A1E; &#x1A0A;&#x1A04;&#x1A18;&#x1A0A;&#x1A15;&#x1A17; &#x1A11;&#x1A17;&#x1A15;&#x1A14;&#x1A19;&#x1A0A;&#x1A01;&#x1A19; &#x1A15;&#x1A00;&#x1A12;&#x1A19;&#x1A1E; &#x1A0A;&#x1A04;&#x1A18;&#x1A0A;&#x1A15;&#x1A17; &#x1A11;&#x1A17;&#x1A15;&#x1A14;&#x1A19;&#x1A0A;&#x1A01;&#x1A19; &#x1A15;&#x1A08;&#x1A17; &#x1A06;&#x1A11;&#x1A19;&#x1A0A;&#x1A17; &#x1A0A; &#x1A14;&#x1A17;&#x1A05;&#x1A1A;&#x1A12;&#x1A19; &#x1A05;&#x1A1A;&#x1A12;&#x1A19;&#x1A0A; &#x1A04;&#x1A09; &#x1A14;&#x1A17;&#x1A04;&#x1A00;&#x1A08;&#x1A15;&#x1A18; &#x1A04;&#x1A09; &#x1A06;&#x1A14;&#x1A12;&#x1A14;&#x1A18;&#x1A11;&#x1A19;&#x1A1E;
018,Austronesian,Cebuano,udhr_cebuano,Ang tanang katawhan gipakatawo nga may kagawasan ug managsama sa kabililhon. Sila gigasahan sa salabutan ug tanlag og mag-ilhanay isip managsoon sa usa'g-usa diha sa diwa sa ospiritu.
019,Austronesian,Fijian,udhr_fijian,"Era sucu ena galala na tamata yadua, era tautauvata ena nodra dokai kei na nodra dodonu. E tiko na nodra vakasama kei na nodra lewaeloma, sa dodonu mera veidokadokai ena yalo ni veitacini."
020,Austronesian,Hawaiian,udhr_hawaiian,"H&#257;nau k&#363;'oko'a 'ia n&#257; k&#257;naka apau loa, a ua kau like ka hanohano a me n&#257; pono k&#299;vila ma luna o k&#257;kou p&#257;kahi. Ua ku'u mai ka no'ono'o pono a me ka 'ike pono ma luna o k&#257;kou, no laila, e aloha k&#257;kou kekahi i kekahi."
021,Austronesian,Indonesian,udhr_in,Semua orang dilahirkan merdeka dan mempunyai martabat dan hak-hak yang sama. Mereka dikaruniai akal dan hati nurani dan hendaknya bergaul satu sama lain dalam semangat persaudaraan.
022,Austronesian,Javanese,udhr_javanese1,&#43441;&#43431;&#43452;&#43428;&#43456;&#43442;&#43448;&#43438;&#43450;&#43444;&#43393;&#43407;&#43437;&#43442;&#43446;&#43394;&#43435;&#43407;&#43456;&#43407;&#43450;&#43407;&#43428;&#43456;&#43419;&#43446;&#43433;&#43394;&#43426;&#43446;&#43407;&#43437;&#43428;&#43456;&#43426;&#43394;&#43431;&#43450;&#43433;&#43394;&#43424;&#43431;&#43424;&#43456;&#43437;&#43428;&#43442;&#43407;&#43456;&#43442;&#43407;&#43456;&#43407;&#43393;&#43429;&#43421;&#43465; &#43407;&#43431;&#43450;&#43395;&#43429;&#43446;&#43428;&#43435;&#43446;&#43393;&#43412;&#43428;&#43456;&#43442;&#43407;&#43437;&#43456;&#43437;&#43428;&#43456;&#43407;&#43437;&#43456;&#43431;&#43448;&#43441;&#43394;&#43424;&#43407;&#43442;&#43415;&#43431;&#43456;&#43429; &#43441;&#43455;&#43438;&#43448;&#43393;&#43412;&#43428;&#43456;&#43442;&#43393;&#43410;&#43450;&#43444;&#43428;&#43456;&#43428;&#43450;&#43433;&#43452;&#43433;&#43446; &#43424;&#43455;&#43428;&#43456;&#43441;&#43446;&#43415;&#43446;&#43437;&#43428;&#43456;&#43441;&#43446;&#43415;&#43446;&#43428;&#43450;&#43407;&#43428;&#43456;&#43419;&#43446;&#43415;&#43446;&#43438;&#43441;&#43448;&#43433;&#43426;&#43448;&#43437;&#43448;&#43394;&#43465;
023,Austronesian,"M&#x0101;ori",udhr_maori,"Ko te katoa o nga tangata i te whanaungatanga mai e watea ana i nga here katoa; e tauriterite ana hoki nga mana me nga tika. E whakawhiwhia ana hoki ki a ratou te ngakau whai whakaaro me te hinengaro mohio ki te tika me te he, a e tika ana kia meinga te mahi a tetahi ki tetahi me ma roto atu i te wairua o te noho tahi, ano he teina he tuakana i ringa i te whakaaro kotahi."
024,Austronesian,Madurese,udhr_madurese,Sadajana oreng lahir mardika e sarenge drajat klaban hak-hak se dha-padha. Sadajana eparenge akal sareng nurani ban kodu areng-sareng akanca kadi taretan.
025,Austronesian,Malagasy,udhr_malagasy,Teraka afaka sy mitovy zo sy fahamendrehana ny olombelona rehetra. Samy manan-tsaina sy fieritreretana ka tokony hifampitondra ampirahalahiana.
026,Austronesian,Malay,udhr_ms,Semua manusia dilahirkan bebas dan samarata dari segi kemuliaan dan hak-hak. Mereka mempunyai pemikiran dan perasaan hati dan hendaklah bertindak di antara satu sama lain dengan semangat persaudaraan.
027,Austronesian,Minangkabau,udhr_minangkabau,&#x0633;&#x0627;&#x062F;&#x0648;&#x06BD;&#x0648; &#x0645;&#x0623;&#x0646;&#x0633;&#x064A; &#x062F;&#x0644;&#x0647;&#x064A;&#x0627;&#x0643;&#x0646; &#x0645;&#x0631;&#x062F;&#x064A;&#x0643;&#x0627; &#x062F;&#x0627;&#x0646; &#x06A4;&#x0648;&#x06BD;&#x0648; &#x0645;&#x0631;&#x062A;&#x0628;&#x062A; &#x0633;&#x0627;&#x0631;&#x0627;&#x062A;&#x0648; &#x062D;&#x0642;-&#x062D;&#x0642; &#x0646;&#x0646; &#x0633;&#x0627;&#x0645;&#x0648;. &#x0645;&#x0631;&#x064A;&#x0643; &#x062F;&#x0643;&#x0627;&#x0631;&#x0648;&#x0646;&#x064A;&#x0627;&#x064A; &#x0627;&#x0643;&#x0627; &#x062C;&#x0648; &#x0647;&#x0627;&#x062A;&#x064A; &#x0646;&#x0648;&#x0631;&#x0627;&#x0646;&#x064A;&#x060C; &#x0633;&#x0648;&#x06A4;&#x064A;&#x0648; &#x0633;&#x0627;&#x062A;&#x0648; &#x0633;&#x0627;&#x0645;&#x0648; &#x0644;&#x0627;&#x064A;&#x0646; &#x0628;&#x0627;&#x06AC;&#x0627;&#x0648;&#x0644; &#x0633;&#x0627;&#x0631;&#x0648;&#x06A4;&#x0648; &#x0627;&#x0648;&#x0631;&#x06A0; &#x0628;&#x0627;&#x062F;&#x0648;&#x0646;&#x0633;&#x0627;&#x0646;&#x0642;.
028,Austronesian,Rarotongan,udhr_rarotongan,"Kua anau rangatira ia te tangata katoatoa ma te aiteite i te au tikaanga e te tu ngateitei tiratiratu. Kua ki ia ratou e te mero kimi ravenga e te akavangakau e kia akono tetai i tetai, i roto i te vaerua piri anga taeake."
029,Austronesian,Rejang,udhr_rejang,"Kut&#x00EA; tun laher m&#x00EA;rdiko, tmu'an hok-hok gi srai. Kut&#x00EA;n&#x00EA; nagiakba ak&#x00EA;a peker ngen at&#x00EA;i, k&#x00EA;rno o k&#x00EA;lokn&#x00EA; b&#x00EA;kuatba do ngen luy&#x00EA;n n&#x00EA;ak l&#x00EA;m asai s&#x00EA;pasuak."
030,Austronesian,Sundanese,udhr_sundanese,"&#x1B9E;&#x1B8A;&#x1BA5;&#x1B99;&#x1BAA;&#x1B94; &#x1B8F;&#x1B9C;&#x1BAA;&#x1B99; &#x1B8C;&#x1BA5;&#x1B98;&#x1BA2;&#x1B8C;&#x1BAA; &#x1B8A; &#x1B83;&#x1B9C;&#x1B99;&#x1BAA; &#x1B93;&#x1BA5;&#x1B91; &#x1B92;&#x1BA8;&#x1B82;&#x1B9E;&#x1BA4;&#x1B96;&#x1B92;&#x1BAA;&#x1B94; &#x1B99;&#x1BA8;&#x1B9B;&#x1BAA;&#x1B93;&#x1BA4;&#x1B8A; &#x1B8F;&#x1BA6;&#x1B80; &#x1B98;&#x1BA7;&#x1B8C; &#x1B99;&#x1B9B;&#x1BAA;&#x1B92;&#x1B98;&#x1B92;&#x1BAA; &#x1B8A;&#x1B92;&#x1BA5;&#x1B92;&#x1BAA; &#x1BA0;&#x1B8A;&#x1BAA;-&#x1BA0;&#x1B8A;&#x1BAA; &#x1B83;&#x1B94;&#x1BA5; &#x1B9E;&#x1B9B;&#x1BA5;&#x1B83;. &#x1B99;&#x1B9B;&#x1B94;&#x1BA6;&#x1BA8;&#x1B82;&#x1B94; &#x1B93;&#x1BA4;&#x1B98;&#x1BA8;&#x1B9B;&#x1BA8; &#x1B83;&#x1B8A;&#x1B9C;&#x1BAA; &#x1B8F;&#x1BA9;&#x1BA0;&#x1B80;&#x1B92;&#x1BA8; &#x1B94;&#x1BA5;&#x1B9B;&#x1B94;&#x1BA4;, &#x1B8E;&#x1B99;&#x1BAA;&#x1B95;&#x1BA5;&#x1B81;&#x1B9B;&#x1BAA;-&#x1B8C;&#x1B85;&#x1B9C;&#x1BAA; &#x1B8F;&#x1BA9;&#x1B80; &#x1B9E;&#x1B9E;&#x1B99;&#x1B94; &#x1B83;&#x1B9A; &#x1B93;&#x1BA4;&#x1B94; &#x1B9E;&#x1BA5;&#x1B99;&#x1B94;&#x1BA8;&#x1B92;&#x1BAA; &#x1B93;&#x1BA5;&#x1B93;&#x1BA5;&#x1B9C;&#x1BA5;&#x1B9B;&#x1B94;&#x1BAA;."
031,Austronesian,Tagalog,udhr_tl,Ang lahat ng tao'y isinilang na malaya at pantay-pantay sa karangalan at mga karapatan. Sila'y pinagkalooban ng katwiran at budhi at dapat magpalagayan ang isa't isa sa diwa ng pagkakapatiran. | &#x1700;&#x1705;&#x1714; &#x170E;&#x1711;&#x1706;&#x1714; &#x1705;&#x1714; &#x1706;&#x1702;&#x170C;&#x1714; &#x1701;&#x1710;&#x1712;&#x1708;&#x1712;&#x170E;&#x1705;&#x1714; &#x1708; &#x170B;&#x170E;&#x170C; &#x1700;&#x1706;&#x1714; &#x1709;&#x1708;&#x1714;&#x1706;&#x170C;&#x1714;-&#x1709;&#x1708;&#x1714;&#x1706;&#x170C;&#x1714; &#x1710; &#x1703;&#x1707;&#x1705;&#x170E;&#x1708;&#x1714; &#x1700;&#x1706;&#x1714; &#x170B;&#x1714;&#x1704; &#x1703;&#x1707;&#x1709;&#x1706;&#x1708;&#x1714;&#x1736; &#x1710;&#x1712;&#x170E;&#x170C;&#x1714; &#x1709;&#x1712;&#x1708;&#x1704;&#x1714;&#x1703;&#x170E;&#x1713;&#x1702;&#x170A;&#x1708;&#x1714; &#x1705;&#x1714; &#x1703;&#x1706;&#x1714;&#x170F;&#x1712;&#x1707;&#x1708;&#x1714; &#x1700;&#x1706;&#x1714; &#x170A;&#x1713;&#x1707;&#x1714;&#x1711;&#x1712; &#x1700;&#x1706;&#x1714; &#x1707;&#x1709;&#x1706;&#x1714; &#x170B;&#x1704;&#x1714;&#x1709;&#x170E;&#x1704;&#x170C;&#x1708;&#x1714; &#x1700;&#x1705;&#x1714; &#x1701;&#x1710;&#x1706;&#x1714; &#x1701;&#x1710; &#x1710; &#x1707;&#x1712;&#x170F; &#x1705;&#x1714; &#x1709;&#x1704;&#x1714;&#x1703;&#x1703;&#x1709;&#x1706;&#x1712;&#x1707;&#x1708;&#x1714;&#x1736;
032,Austronesian,Terengganu Malay,udhr_terenganumalay,"Segheme manusie lah&eacute;r-lah&eacute;r je b&eacute;bah, sameghate daghi segi kemulieang nge hok-hok ye. Mas&eacute;ng-mas&eacute;ng ade ppik&eacute;ghang nge peghasaang, kene tulong antaghe satu same la&eacute;ng nge semangak pesedagheang."
033,Austronesian,Tetum,udhr_tetum,"Ema hotu hotu moris hanesan ho dignidade ho direitu. Sira hotu iha hanoin, konsiensia n'e duni tenki hare malu hanesan espiritu maun-alin."
034,Austronesian,Tuvaluan,udhr_tuvaluan,"E f&#x0101;'nau mai a tino katoa i te saolotoga kae e 'pau  telotou t&#x016B;laga fakaaloalogina mo telotou ai&#x0101;. Ne tuku atu ki  a l&#x0101;tou a te mafaufau mo te loto lagona, t&#x0113;l&#x0101; l&#x0101;,  e 'tau o g&#x0101;'lue fakatasi l&#x0101;tou e p&#x0113;l&#x0101;  me ne taina."
035,Bantu,Swahili,udhr_swahili,"Watu wote wamezaliwa huru, hadhi na haki zao ni sawa. Wote wamejaliwa akili na dhamiri, hivyo yapasa watendeane kindugu."
036,Bantu,Zulu,udhr_zulu,Bonke abantu bazalwa bekhululekile belingana ngesithunzi nangamalungelo. Bahlanganiswe wumcabango nangunembeza futhi kufanele baphathane ngomoya wobunye.
037,Celtic,Irish Gaelic,udhr_irish,Saola&iacute;tear na daoine uile saor agus comhionann ina nd&iacute;nit agus ina gcearta. T&aacute; bua an r&eacute;as&uacute;in agus an choinsiasa acu agus dl&iacute;d iad f&eacute;in d'iompar de mheon br&aacute;ithreachais i leith a ch&eacute;ile.
038,Celtic,Manx Gaelic,udhr_gv,Ta dagh chooilley ghooinney ruggit seyr as corrym rish dy chooilley ghooinney elley ayns ooashley as ayns cairys. Ta resoon as cooinsheanse stowit orroo as lhisagh ad dellal rish y cheilley lesh spyrryd braaraghyn.
